date,username,tweet
5/10/2022 15:17,chijeupija,@ohshititsariss @hany_pin @cobacooot @lakonshi @nuim10 @pengkysanss wkwk cape bgt knp jadi oot mulu. gw bkn dukung LGBT tapi ga setuju kalau LGBT dibilang suatu penyakit. itu aja simple knp jadi merempet kesana kemari
5/10/2022 15:17,purwito_ki,@sariputriLee Lgbt itu  apa ta?
5/10/2022 15:17,ramli_afrin,@democrazymedia Boss nya LGBT 🤣🤣🤣
5/10/2022 15:17,baibraa_,"karena agama abrahamik, liat aja penggambaran hukuman pelaku lgbt di agama, serem banget. buat orang yang beragama, agama posisinya di atas apapun. kalo mau lgbt legal dan dapet keadilan, ya negaranya musti didominasi masyarakat yang liberal atau atheist."
5/10/2022 15:17,ekowboy2,"Koruptor jg punya hak hidup tapi apakah pidananya dapat dinormalisasi.. LGBT silahkan hidup tapi penyimpangan kalian akan dikecam sepanjang zaman krn menyalahi kodrat  Minta maaf itu kalo cuma sekali, jejak digital anda @corbuzier promosikan nikah sesama jenis bertebaran!!"
5/10/2022 15:17,HeriSuwondo2,MK Menolak Gugatan Pasal LGBT? Menjadi tanda tanya besar apakah tupoksi mereka sudah berubah? Hanya tinggal nama doang Mahkamah Konstitusi tapi pekerjaannya Karyawan Oligarki? Berkali2 PT 0% juga ditolak. Jadi LGBT itu sesuai dgn Pancasila &amp; Konstitusi ya? Siap ditanya Malaikat?
5/10/2022 15:16,gusuran76,"Bukan penyakit aja, kejahatan juga bisa, pelecehan seksual sering terjadi pada korban orang straigh dan pelaku kejahatan adalah LGBT, pernah denger 18 teman tukang ojol dapat kata"" mas mau saya sepong Kntl"" sesuai dalam Quran cerita Nabi Luth as"
5/10/2022 15:16,id_ayahnyafaris,"Pegiat HAM: ""LGBT itu HAM"" BULLSHIT! Ingat kisah seorang LGBT yg meninggal dunia? Seorang miskin yg tak mampu bayar RS, tak ada yg peduli hingga meninggalnya tak seorang pun yg mau mengurus jenazahnya. Sampai akhirnya FPI dan komunitas Arab Bil Haq jua-lah yg mengurusnya. Fakta!  https://t.co/GbY4yKF4mq"
5/10/2022 15:16,banyubiru9991,"LGBT adalah manusia, mereka ada di sekitar kita. Mereka adalah  teman, rekan kerja kita, atau bahkan anggota keluarga kita, hanya saja mereka belum bercerita.  Pada akhirnya, apakah salah atau benar bukanlah lagi urusan kita.  Hargailah pilihan hidup setiap manusia 🙏."
5/10/2022 15:16,banyubiru9991,"LGBT adalah Manusia  Di luar segala perdebatan apakah normal atau tidak, bahwa mereka melanggar norma agama, kodrat sebagai manusia, mari kita kesampingkan itu sejenak dan mari anggap mereka sebagai manusia dan warga negara.  https://t.co/cr21aeEx21"
5/10/2022 15:16,brondongchines3,Pengen di merahin tapi pake bibir  Winda Olive LGBT Suci PISB Thailand THR Habis sarapan apel pagi  https://t.co/C6xj89u3xg
5/10/2022 15:16,Jacobs04705479,"@takeawayplease @karimnas_ Penyebabnya karna ""sex bebas tanpa menggunakan kondom dan tidak menjaga kebersihan daerah intim"" baik dri Homoseksual maupun Heteroseksual, jdi penyebabnya bukan karna seseorang menjadi LGBT"
5/10/2022 15:16,archabandung,"Buat mereka yang membela LGBT ayat dasar hak kebebasan pribadi, apakah anda juga akan membela orang yang ngencuk ibunya dengan alasan yang sama?  Rusak kemanusiaan kalau sikap anda ini diikuti."
5/10/2022 15:15,iampozsible_,"Mereka ga tau jd LGBT ga gampang, rusak fisik dan mental bertarung dg diri sendiri dan cacian orang. Kalo bisa berubah dg mudah spt ganti celana pasti semua ingin berubah. Ini bukan perkara mudah. Hanya Tuhan yg tau apa yg kami rasakan."
5/10/2022 15:15,FrahmahGyu,"@Baby_Kyukyute Ia, apalagi klu lgbt yg tdk terkendalikan sm diri sendiri, jd klu ada org yg anggap wajar lgbt krn toleransi, menurut ku  dia udh gk sehat &amp; bukan org beragama. Krn agama manapun melarang pernikahan lgbt"
5/10/2022 15:15,DedySoelistijan,Rangorang jadi pd bahas LGBT tanpa tau dan pernah ngerasain. Lgsg fafifu wasweswos. Okesip!
5/10/2022 15:15,KolektorBatu,Tarkam Ternodai 🤣🤣🤣   LGBT Run BTS Gus Miftah Winda Suci MKD Ngekos  https://t.co/WjxJJZ7aRM
5/10/2022 15:15,MaulanaSiregar_,@tobiaspellondo1 @margaAlfarisi @noonejustmeeee @asepshow777 @Iswa38950592 @DhaniNurc @idextratime Lahh kan fokus daripada potkes Dedi itu kan mengenai LGBT nya bukan keseharian mereka sebagai manusia yg baik. Dan fokus saya juga mengenai perilaku LGBT yg dikash panggung bukan secara eksplisit ngomentasi orangnya
5/10/2022 15:15,herrybae777,"@B3N1N9_RT04 Berperang melawan kemunkaran, dan kebatilan lebih mulia, daripada menyaksikan kesesatan yg nyata didepan mata jangan biarkan generasi muda terjerat kelompok LGBT perang tanpa senjata takan ada korban tapi semoga ada perubahan untuk manusia yg tersesat dari jalan Nya"
5/10/2022 15:15,poskotaofficial,"Abu Janda Tepuk Tangan Lihat Deddy Corbuzier Undang LGBT, yang Protes Bukan Manusia Katanya  https://t.co/eu4nW6sTSD"
5/10/2022 15:14,infoslot77,Jung Kook LGBT Sehun #UnsubscribePodcastDeddy Gus Miftah 10 Mei Winda Danna Paola PISB CD 3 #SecretNumberNewEra CYPHER PT Black Widow Dylan O'Brien Komang #BTS_Proof #WhyDontYouStayJeffSatur SECRET NUMBER IS COMING THR Habis    https://t.co/UzuX69L0ij
